Baustein,Nummer,Siegelstufe,Anforderungen
NET.2.2 WLAN-Nutzung,"NET.2.2.A2 Sensibilisierung und Schulung der WLAN-Benutzer [Vorgesetzte, Leiter IT] ",B,"Die Benutzer von WLAN-Komponenten, vornehmlich von WLAN-Clients, MÜSSEN sensibilisiert und zu den in der Benutzerrichtlinie aufgeführten Maßnahmen geschult werden. Den Benutzern MUSS genau erläutert werden, was die WLAN-spezifischen Sicherheitseinstellungen bedeuten und warum sie wichtig sind. Außerdem MÜSSEN sie auf die Gefahren hingewiesen werden, die drohen, wenn diese Sicherheitseinstellungen umgangen oder deaktiviert werden."
NET.2.2 WLAN-Nutzung,NET.2.2.A3 Absicherung der WLAN-Nutzung in unsicheren Umgebungen [IT-Betrieb] ,B,"Dürfen externe Hotspots genutzt werden, MUSS Folgendes umgesetzt werden:"
NET.2.2 WLAN-Nutzung,NET.2.2.A4 Verhaltensregeln bei WLAN-Sicherheitsvorfällen ,S,Bei WLAN-Sicherheitsvorfällen SOLLTEN die Benutzer Folgendes umsetzen:
NET.2.1 WLAN-Betrieb,NET.2.1.A1 Festlegung einer Strategie für den Einsatz von WLANs [Leiter IT] ,B,"Bevor in einer Institution WLANs eingesetzt werden, MUSS festgelegt sein, welche generelle Strategie die Institution im Hinblick auf die Kommunikation über WLANs einnimmt. Insbesondere MUSS geklärt und festgelegt werden, in welchen Organisationseinheiten, für welche Anwendungen und zu welchem Zweck WLANs eingesetzt und welche Informationen darüber übertragen werden dürfen. Ebenso MUSS der Abdeckungsbereich des WLAN festgelegt werden."
NET.2.1 WLAN-Betrieb,NET.2.1.A2 Auswahl eines geeigneten WLAN-Standards [Planer] ,B,"Es MUSS im Rahmen der WLAN-Planung zuerst ermittelt werden, welche der von der Institution betriebenen Geräte (z. B. Mikrowellengeräte, Bluetooth-Geräte) in das ISM-Band bei 2,4 GHz sowie in das 5 GHz-Band abstrahlen. "
NET.2.1 WLAN-Betrieb,NET.2.1.A3 Auswahl geeigneter Kryptoverfahren für WLAN [Planer] ,B,"Die Kommunikation über die Luftschnittstelle MUSS komplett kryptografisch abgesichert werden. Kryptografische Verfahren, die unsicherer als WPA2 sind, DÜRFEN NICHT mehr eingesetzt werden."
NET.2.1 WLAN-Betrieb,NET.2.1.A4 Geeignete Aufstellung von Access Points [Haustechnik] ,B,"Access Points MÜSSEN zugriffs- und diebstahlsicher montiert werden. Wenn sie aufgestellt werden, MÜSSEN die erforderlichen Bereiche ausreichend abgedeckt werden. Darüber hinaus MUSS darauf geachtet werden, dass sich die Funkwellen in Bereichen, die nicht durch das WLAN versorgt werden sollen, möglichst nicht ausbreiten. Außeninstallationen MÜSSEN vor Witterungseinflüssen und elektrischen Entladungen geeignet geschützt werden."
NET.2.1 WLAN-Betrieb,NET.2.1.A5 Sichere Basis-Konfiguration der Access Points ,B,"Access Points DÜRFEN NICHT in der Konfiguration des Auslieferungszustandes verwendet werden. Voreingestellte SSIDs (Service Set Identifiers), Zugangskennwörter oder kryptografische Schlüssel MÜSSEN direkt nach Inbetriebnahme geändert werden. Außerdem MÜSSEN unsichere Administrationszugänge abgeschaltet werden. Access Points MÜSSEN verschlüsselt administriert werden."
NET.2.1 WLAN-Betrieb,NET.2.1.A6 Sichere Konfiguration der WLAN-Clients ,B,Es SOLLTEN alle mit einer internen WLAN-Infrastruktur gekoppelten WLAN-Clients sicher konfiguriert sein. Zusätzlich MÜSSEN folgende WLAN-spezifischen Anforderungen erfüllt werden:
NET.2.1 WLAN-Betrieb,NET.2.1.A7 Aufbau eines Distribution Systems [Planer] ,B,"Wird ein Distribution System aufgebaut, MUSS prinzipiell entschieden werden, ob physisch oder logisch durch VLANs auf den Access Switches des kabelbasierten LANs getrennt wird."
NET.2.1 WLAN-Betrieb,NET.2.1.A8 Verhaltensregeln bei WLAN-Sicherheitsvorfällen ,B,Bei einem Sicherheitsvorfall MUSS der IT-Betrieb passende Gegenmaßnahmen einleiten (siehe auch DER.2.1 Behandlung von Sicherheitsvorfällen):
NET.2.1 WLAN-Betrieb,NET.2.1.A9 Sichere Anbindung von WLANs an ein LAN [Planer] ,S,"Werden WLANs an ein LAN angebunden, SOLLTE der Übergang zwischen WLANs und LAN abgesichert werden, beispielsweise durch einen Paketfilter. Der Access Point SOLLTE unter Berücksichtigung der Anforderung NET.2.1.A7 Aufbau eines Distribution Systems eingebunden sein."
NET.2.1 WLAN-Betrieb,NET.2.1.A10 Erstellung einer Sicherheitsrichtlinie für den Betrieb von WLANs ,S,"Ausgehend von der allgemeinen Sicherheitsrichtlinie der Institution SOLLTEN die wesentlichen Kernaspekte für einen sicheren Einsatz von WLANs konkretisiert werden. Die Richtlinie SOLLTE allen Verantwortlichen bekannt sein, die an Aufbau und Betrieb von WLANs beteiligt sind. Sie SOLLTE zudem Grundlage für ihre Arbeit sein. Die Umsetzung der in der Richtlinie geforderten Inhalte SOLLTE regelmäßig überprüft werden. Die Ergebnisse SOLLTEN geeignet dokumentiert werden."
NET.2.1 WLAN-Betrieb,NET.2.1.A11 Geeignete Auswahl von WLAN-Komponenten ,S,"Anhand der Ergebnisse der Planungsphase SOLLTE eine Anforderungsliste erstellt werden, mithilfe derer die am Markt erhältlichen Produkte bewertet werden können. Werden WLAN-Komponenten beschafft, SOLLTE neben Sicherheit auch auf Datenschutz und Kompatibilität der WLAN-Komponenten untereinander geachtet werden."
NET.2.1 WLAN-Betrieb,NET.2.1.A12 Einsatz einer geeigneten WLAN-Management-Lösung ,S,Es SOLLTE eine zentrale Managementlösung eingesetzt werden. Der Leistungsumfang der eingesetzten Lösung SOLLTE im Einklang mit den Anforderungen der WLAN-Strategie sein.
NET.2.1 WLAN-Betrieb,NET.2.1.A13 Regelmäßige Sicherheitschecks in WLANs ,S,"WLANs SOLLTEN regelmäßig daraufhin überprüft werden, ob eventuell Sicherheitslücken existieren. Zusätzlich SOLLTE regelmäßig nach unbefugt installierten Access Points innerhalb der bereitgestellten WLANs gesucht werden. Weiterhin SOLLTE die Performance gemessen werden. Die Ergebnisse von Sicherheitschecks SOLLTEN nachvollziehbar dokumentiert und mit dem Soll-Zustand abgeglichen werden. Abweichungen SOLLTEN untersucht werden."
NET.2.1 WLAN-Betrieb,NET.2.1.A14 Regelmäßige Audits der WLAN-Komponenten ,S,"Bei allen Komponenten der WLAN-Infrastruktur wie Access Points, Distribution System oder WLAN-Management-Lösung SOLLTE regelmäßig überprüft werden, ob alle festgelegten Sicherheitsmaßnahmen umgesetzt und alle Komponenten korrekt konfiguriert sind. Öffentlich aufgestellte Access Points SOLLTEN regelmäßig stichprobenartig daraufhin geprüft werden, ob es gewaltsame Öffnungs- oder Manipulationsversuche gab. Die Auditergebnisse SOLLTEN nachvollziehbar dokumentiert und mit dem Soll-Zustand abgeglichen werden. Abweichungen SOLLTEN untersucht werden."
NET.2.1 WLAN-Betrieb,NET.2.1.A15 Verwendung eines VPN zur Absicherung von WLANs ,H,"Es SOLLTE ein VPN eingesetzt werden, um die Kommunikation über die WLAN-Infrastruktur zusätzlich abzusichern. "
NET.2.1 WLAN-Betrieb,NET.2.1.A16 Zusätzliche Absicherung bei der Anbindung von WLANs an ein LAN ,H,"Wird eine WLAN-Infrastruktur an ein LAN angebunden, SOLLTE der Übergang zwischen WLANs und LAN entsprechend des höheren Schutzbedarfs zusätzlich abgesichert werden."
NET.2.1 WLAN-Betrieb,NET.2.1.A17 Absicherung der Kommunikation zwischen Access Points ,H,Die Kommunikation zwischen den Access Points über die Funkschnittstelle und das LAN SOLLTE verschlüsselt erfolgen.
NET.2.1 WLAN-Betrieb,NET.2.1.A18 Einsatz von Wireless Intrusion Detection/Wireless Intrusion Prevention Systemen ,H,Es SOLLTEN Wireless Intrusion Detection Systeme bzw. Wireless Intrusion Prevention Systeme eingesetzt werden.
"SYS.4.1 Drucker, Kopierer und Multifunktionsgeräte","SYS.4.1.A1 Planung des Einsatzes von Druckern, Kopierern und Multifunktionsgeräten ",B,"Die Institution MUSS den sicheren Einsatz von Druckern, Kopierern und Multifunktionsgeräten planen. Es MUSS geplant werden, wo die Geräte aufgestellt werden dürfen. Außerdem MUSS festgelegt sein, wer auf die Drucker, Kopierer und Multifunktionsgeräte zugreifen darf. Die Ergebnisse SOLLTEN in einem Basiskonzept dokumentiert werden."
"SYS.4.1 Drucker, Kopierer und Multifunktionsgeräte","SYS.4.1.A2 Geeignete Aufstellung und Zugriff auf Drucker, Kopierer und Multifunktionsgeräte ",B,"Der IT-Betrieb MUSS Drucker, Kopierer und Multifunktionsgeräte so aufstellen und absichern, dass nur befugte Benutzer die Geräte verwenden und auf verarbeitete Informationen zugreifen können. Außerdem MUSS sichergestellt sein, dass nur berechtigte Personen die Geräte administrieren, warten und reparieren können. Mit Dienstleistern (z. B. für die Wartung) MÜSSEN schriftliche Vertraulichkeitsvereinbarungen getroffen werden."
"SYS.4.1 Drucker, Kopierer und Multifunktionsgeräte",SYS.4.1.A3 ENTFALLEN ,B,Diese Anforderung ist entfallen.
"SYS.4.1 Drucker, Kopierer und Multifunktionsgeräte",SYS.4.1.A12 Ordnungsgemäße Entsorgung von Geräten und schützenswerten Betriebsmitteln ,B,"Bevor die Institution Altgeräte entsorgt oder zurückgibt, MÜSSEN alle vertraulichen Daten auf den Geräten sicher gelöscht werden. Ist das nicht möglich, MÜSSEN die Massenspeicher ausgebaut und durch geeignete Prozesse vernichtet werden. Mit der Entsorgung beauftragte Dienstleister MÜSSEN verpflichtet werden, die erforderlichen Sicherheitsmaßnahmen einzuhalten."
"SYS.4.1 Drucker, Kopierer und Multifunktionsgeräte",SYS.4.1.A13 ENTFALLEN ,B,Diese Anforderung ist entfallen.
"SYS.4.1 Drucker, Kopierer und Multifunktionsgeräte",SYS.4.1.A22 Ordnungsgemäße Entsorgung ausgedruckter Dokumente ,B,"Nicht benötigte, aber ausgedruckte Dokumente mit institutionskritischen Informationen MÜSSEN in geeigneter Weise vernichtet werden, z. B. in geeigneten Papiercontainern. Sind Heimarbeitsplätze mit Druckern, Kopierern oder Multifunktionsgeräten ausgestattet, SOLLTE gewährleistet werden, dass die ausgedruckten Informationen auch direkt vor Ort geeignet vernichtet werden können. "
"SYS.4.1 Drucker, Kopierer und Multifunktionsgeräte","SYS.4.1.A4 Erstellung eines Sicherheitskonzeptes für den Einsatz von Druckern, Kopieren und Multifunktionsgeräten ",S,"Die Institution SOLLTE ein Sicherheitskonzept für Drucker, Kopierer und Multifunktionsgeräte entwickeln. Darin SOLLTE geregelt werden, welche Anforderungen und Vorgaben an die Informationssicherheit der Geräte gestellt und wie diese erfüllt werden sollen. Es SOLLTE auch festgelegt werden, welche Funktionen von welchen Benutzern unter welchen Bedingungen administriert beziehungsweise genutzt werden dürfen. Der ISB SOLLTE auf Basis des Sicherheitskonzepts eine Administrationsrichtlinie ausarbeiten. "
"SYS.4.1 Drucker, Kopierer und Multifunktionsgeräte","SYS.4.1.A5 Erstellung von Benutzerrichtlinien für den Umgang mit Druckern, Kopierern und Multifunktionsgeräten [Informationssicherheitsbeauftragter (ISB)] ",S,"Für die Benutzer SOLLTE der ISB ein Merkblatt erstellen, auf dem alle Sicherheitsvorgaben zum Umgang mit den Geräten übersichtlich und verständlich zusammengefasst sind. Das Merkblatt SOLLTE allen Benutzern bekannt sein."
"SYS.4.1 Drucker, Kopierer und Multifunktionsgeräte",SYS.4.1.A6 ENTFALLEN ,S,Diese Anforderung ist entfallen.
"SYS.4.1 Drucker, Kopierer und Multifunktionsgeräte","SYS.4.1.A7 Beschränkung der administrativen Fernzugriffe auf Drucker, Kopierer und Multifunktionsgeräte ",S,"Der IT-Betrieb SOLLTE sicherstellen, dass der administrative Fernzugriff auf Drucker, Kopierer und Multifunktionsgeräte nur einer klar definierten Gruppe an Administratoren und Servicetechnikern ermöglicht wird. Das SOLLTE auch dann gewährleistet sein, wenn die Institution eine zentrale Geräteverwaltungssoftware einsetzt. "
"SYS.4.1 Drucker, Kopierer und Multifunktionsgeräte",SYS.4.1.A8 ENTFALLEN ,S,Diese Anforderung ist entfallen.
"SYS.4.1 Drucker, Kopierer und Multifunktionsgeräte",SYS.4.1.A9 ENTFALLEN ,S,Diese Anforderung ist entfallen.
"SYS.4.1 Drucker, Kopierer und Multifunktionsgeräte",SYS.4.1.A10 ENTFALLEN ,S,Diese Anforderung ist entfallen.
"SYS.4.1 Drucker, Kopierer und Multifunktionsgeräte","SYS.4.1.A11 Einschränkung der Anbindung von Druckern, Kopierern und Multifunktionsgeräten ",S,"Der IT-Betrieb SOLLTE sicherstellen, dass Netzdrucker und Multifunktionsgeräte nicht aus Fremdnetzen erreichbar sind. Wenn Multifunktionsgeräte an das Telefonnetz angeschlossen werden, SOLLTE sichergestellt werden, dass keine unkontrollierten Datenverbindungen zwischen dem Datennetz der Institution und dem Telefonnetz aufgebaut werden können. Netzdrucker und Multifunktionsgeräte SOLLTEN in einem eigenen Netzsegment, das von den Clients und Servern der Institution getrennt ist, betrieben werden."
"SYS.4.1 Drucker, Kopierer und Multifunktionsgeräte","SYS.4.1.A15 Verschlüsselung von Informationen bei Druckern, Kopierern und Multifunktionsgeräten ",S,"Wenn möglich, SOLLTEN alle auf geräteinternen, nichtflüchtigen Speichermedien (z. B. Festplatten, SSDs) abgelegten Informationen verschlüsselt werden. Auch Druckaufträge SOLLTEN möglichst verschlüsselt übertragen werden."
"SYS.4.1 Drucker, Kopierer und Multifunktionsgeräte",SYS.4.1.A17 Schutz von Nutz- und Metadaten ,S,"Nutz- und Metadaten wie Druckaufträge und Scandateien SOLLTEN nur so kurz wie möglich auf den Geräten gespeichert werden. Die Daten SOLLTEN nach einer vordefinierten Zeit automatisch gelöscht werden. Dateiserver in den Geräten und Funktionen wie „Scan in den Gerätespeicher"" SOLLTEN vom IT-Betrieb abgeschaltet werden. Die dafür benötigten Protokolle und Funktionen SOLLTEN, soweit möglich, gesperrt werden."
"SYS.4.1 Drucker, Kopierer und Multifunktionsgeräte","SYS.4.1.A18 Konfiguration von Druckern, Kopierern und Multifunktionsgeräten ",S,"Alle Drucker und Multifunktionsgeräte SOLLTEN geeignet vom IT-Betrieb konfiguriert werden. Nicht benötigte Gerätefunktionen SOLLTEN abgeschaltet werden. Die Geräte SOLLTEN ausschließlich über verschlüsselte Protokolle wie HTTPS und SNMPv3 verwaltet werden. Sämtliche Protokolle, mit denen unverschlüsselt auf Drucker und Multifunktionsgeräte zugegriffen werden kann, SOLLTEN vom IT-Betrieb durch verschlüsselte ersetzt oder abgeschaltet werden. Das SOLLTE insbesondere für Protokolle umgesetzt werden, mit denen sich die Gerätekonfiguration verändern lässt, z. B. SNMP, Telnet und PJL. Der voreingestellte „SNMP Set Community Name"" SOLLTE geändert werden. "
"SYS.4.1 Drucker, Kopierer und Multifunktionsgeräte","SYS.4.1.A19 Sicheres Löschen von Informationen bei Druckern, Kopierern und Multifunktionsgeräten ",S,"Es SOLLTE sichergestellt werden, dass gelöschte Daten nicht rekonstruierbar sind. Die Daten SOLLTEN automatisch mit Zufallswerten überschrieben werden. Alle nicht mehr benötigten kryptografischen Schlüssel und Zertifikate SOLLTEN sicher gelöscht werden."
"SYS.4.1 Drucker, Kopierer und Multifunktionsgeräte","SYS.4.1.A14 Authentisierung und Autorisierung bei Druckern, Kopierern und Multifunktionsgeräten ",H,Es SOLLTEN nur berechtigte Personen auf die ausgedruckten oder kopierten Dokumente zugreifen können. 
"SYS.4.1 Drucker, Kopierer und Multifunktionsgeräte","SYS.4.1.A16 Notfallvorsorge bei Druckern, Kopierern und Multifunktionsgeräten ",H,"Die Ausfallzeiten von Druckern, Kopierern und Multifunktionsgeräten SOLLTEN so gering wie möglich sein. Deshalb SOLLTEN unter anderem"
"SYS.4.1 Drucker, Kopierer und Multifunktionsgeräte","SYS.4.1.A20 Erweiterter Schutz von Informationen bei Druckern, Kopierern und Multifunktionsgeräten ",H,Druckdateien mit vertraulichen Informationen SOLLTEN nur verschlüsselt übertragen werden. Auch SOLLTEN auf dem Druckserver die Namen der Druckaufträge nur anonymisiert angezeigt werden.
"SYS.4.1 Drucker, Kopierer und Multifunktionsgeräte","SYS.4.1.A21 Erweiterte Absicherung von Druckern, Kopierern und Multifunktionsgeräten ",H,"Die Sicherheitseinstellungen von Druckern, Kopierern und Multifunktionsgeräten sind regelmäßig zu kontrollieren und, falls notwendig, zu korrigieren. Wenn ein automatisiertes Kontroll- und Korrektursystem verfügbar ist, SOLLTE es genutzt werden."
CON.9 Informationsaustausch,CON.9.A1 Festlegung zulässiger Empfänger ,B,"In der Institution MUSS festgelegt werden, welche Empfänger welche Informationen erhalten und weitergeben dürfen. Es MUSS festgelegt werden, auf welchen Wegen Informationen ausgetauscht werden dürfen. Dies MUSS für alle Geschäftsprozesse in der Institution festgelegt werden. Benutzer MÜSSEN vor dem Austausch von Informationen sicherstellen, dass der Empfänger die notwendigen Berechtigungen für den Erhalt und die Weiterverarbeitung der Informationen besitzt."
CON.9 Informationsaustausch,CON.9.A2 Regelung des Informationsaustausches ,B,"Werden Informationen ausgetauscht, MUSS der Informationseigentümer im Vorfeld festlegen, wie schutzbedürftig die relevanten Informationen sind und wie sie bei der Übertragung zu schützen sind. Der Informationseigentümer MUSS den Empfänger darüber informieren, wie schutzbedürftig die Informationen sind."
CON.9 Informationsaustausch,CON.9.A3 Unterweisung des Personals zum Informationsaustausch ,B,"Die Institution MUSS alle Mitarbeiter darüber informieren, welche Rahmenbedingungen für den Informationsaustausch gelten. Die Mitarbeiter MÜSSEN wissen, welche Informationen sie wann, wo und wie weitergeben dürfen."
CON.9 Informationsaustausch,CON.9.A4 Vereinbarungen zum Informationsaustausch mit Externen ,S,Bei einem regelmäßigen Informationsaustausch mit externen Partnern SOLLTE die Institution die Rahmenbedingungen dafür formal vereinbaren. Die Vereinbarungen SOLLTEN alle wichtigen Aspekte zum Schutz von vertraulichen Informationen enthalten.
CON.9 Informationsaustausch,CON.9.A5 Beseitigung von Restinformationen in Dateien vor Weitergabe [Benutzer] ,S,"Zusätzlich zu den allgemeinen Schulungsmaßnahmen SOLLTE die Institution die Benutzer über die Gefahren von Rest- und Zusatzinformationen in Dateien informieren. Den Benutzern SOLLTE vermittelt werden, wie sie Rest- und Zusatzinformationen in Dateien vermeiden können. Die Benutzer SOLLTEN ungewollte und alle nicht notwendigen Restinformationen entfernen, bevor sie Dateien weitergeben. Die Benutzer SOLLTEN Dateien vor der Weitergabe auf Restinformationen überprüfen."
CON.9 Informationsaustausch,CON.9.A6 Kompatibilitätsprüfung des Sender- und Empfängersystems ,S,"Vor einem Informationsaustausch SOLLTE überprüft werden, ob die eingesetzten Systeme und Produkte auf Sender- und Empfängerseite kompatibel sind."
CON.9 Informationsaustausch,CON.9.A7 Sicherungskopie der übermittelten Daten ,S,"Wenn die übertragenen Daten nicht aus anderen Quellen wiederhergestellt werden können, SOLLTE von ihnen eine Sicherungskopie erstellt werden, bevor sie übermittelt werden."
CON.9 Informationsaustausch,CON.9.A8 Verschlüsselung und Signatur ,S,"Die Institution SOLLTE prüfen, ob Informationen während des Austausches kryptografisch gesichert werden können. Ist dies möglich, SOLLTEN dazu dem Stand der Technik entsprechende Verfahren eingesetzt werden."
NET.3.2 Firewall,NET.3.2.A1 Erstellung einer Sicherheitsrichtlinie ,B,"Ausgehend von der allgemeinen Sicherheitsrichtlinie der Institution MUSS eine spezifische Sicherheitsrichtlinie erstellt werden. In dieser MÜSSEN nachvollziehbar Anforderungen und Vorgaben beschrieben sein, wie Firewalls sicher betrieben werden können. Die Richtlinie MUSS allen im Bereich Firewalls zuständigen Mitarbeitern bekannt und grundlegend für ihre Arbeit sein. Wird die Richtlinie verändert oder wird von den Anforderungen abgewichen, MUSS dies mit dem ISB abgestimmt und dokumentiert werden. Es MUSS regelmäßig überprüft werden, ob die Richtlinie noch korrekt umgesetzt ist. Die Ergebnisse MÜSSEN sinnvoll dokumentiert werden."
NET.3.2 Firewall,NET.3.2.A2 Festlegen der Firewall-Regeln ,B,"Die gesamte Kommunikation zwischen den beteiligten Netzen MUSS über die Firewall geleitet werden. Es MUSS sichergestellt sein, dass von außen keine unerlaubten Verbindungen in das geschützte Netz aufgebaut werden können. Ebenso DÜRFEN KEINE unerlaubten Verbindungen aus dem geschützten Netz heraus aufgebaut werden. "
NET.3.2 Firewall,NET.3.2.A3 Einrichten geeigneter Filterregeln am Paketfilter ,B,Basierend auf den Firewall-Regeln aus NET.3.2.A2 Festlegen der Firewall-Regeln MÜSSEN geeignete Filterregeln für den Paketfilter definiert und eingerichtet werden.
NET.3.2 Firewall,NET.3.2.A4 Sichere Konfiguration der Firewall ,B,"Bevor eine Firewall eingesetzt wird, MUSS sie sicher konfiguriert werden. Eine Firewall DARF NUR von dafür autorisierten Personen installiert und konfiguriert werden. Alle Konfigurationsänderungen MÜSSEN nachvollziehbar dokumentiert sein. Die Integrität der Konfigurationsdateien MUSS geeignet geschützt werden. Zugangspasswörter MÜSSEN verschlüsselt gespeichert werden. Eine Firewall MUSS so konfiguriert sein, dass ausschließlich zwingend erforderliche Dienste verfügbar sind. Wenn funktionale Erweiterungen benutzt werden, MÜSSEN die Sicherheitsrichtlinien der Institution weiterhin erfüllt sein. Auch MUSS begründet und dokumentiert werden, warum solche Erweiterungen eingesetzt werden. Nicht benötigte (Auskunfts-)Dienste sowie nicht benötigte funktionale Erweiterungen MÜSSEN deaktiviert oder ganz deinstalliert werden.Informationen über den internen Konfigurations- und Betriebszustand MÜSSEN nach außen bestmöglich verborgen werden."
NET.3.2 Firewall,NET.3.2.A5 Restriktive Rechtevergabe ,B,"Es MUSS geregelt werden, wer auf die Firewall zugreifen darf. Dabei DÜRFEN immer NUR so viele Zugriffsrechte vergeben werden, wie für die jeweiligen Aufgaben erforderlich sind (Need-to-know-Prinzip). Unautorisierte Benutzerkonten MÜSSEN entfernt werden. Es MUSS sichergestellt werden, dass mit Administrator-Rechten nur gearbeitet wird, wenn es notwendig ist."
NET.3.2 Firewall,NET.3.2.A6 Schutz der Administrationsschnittstellen ,B,"Alle Administrations- und Managementzugänge der Firewall MÜSSEN auf einzelne Quell-IP-Adressen bzw. -Adressbereiche eingeschränkt werden. Es MUSS sichergestellt sein, dass aus nicht vertrauenswürdigen Netzen heraus nicht auf die Administrationsschnittstellen zugegriffen werden kann."
NET.3.2 Firewall,NET.3.2.A7 Notfallzugriff auf die Firewall ,B,"Es MUSS immer möglich sein, direkt auf die Firewall zugreifen zu können, sodass sie im Notfall auch dann lokal administriert werden kann, wenn das gesamte Netz ausfällt."
NET.3.2 Firewall,NET.3.2.A8 Unterbindung von dynamischem Routing ,B,"In den Einstellungen der Firewall MUSS das dynamische Routing deaktiviert sein, es sei denn, der Paketfilter wird entsprechend dem Baustein NET.3.1 Router und Switches als Perimeter-Router eingesetzt. "
NET.3.2 Firewall,NET.3.2.A9 Protokollierung ,B,"Die Firewall MUSS so konfiguriert werden, dass sie mindestens folgende Ereignisse protokolliert:"
NET.3.2 Firewall,NET.3.2.A10 Abwehr von Fragmentierungsangriffen am Paketfilter ,B,"Am Paketfilter MÜSSEN Schutzmechanismen aktiviert sein, um IPv4- sowie IPv6-Fragmentierungsangriffe abzuwehren. "
NET.3.2 Firewall,NET.3.2.A11 Einspielen von Updates und Patches ,B,"Die Verantwortlichen MÜSSEN sich über bekannt gewordene Schwachstellen informieren. Updates und Patches MÜSSEN so schnell wie möglich eingespielt werden. Vorab MUSS auf einem Testsystem überprüft werden, ob die Sicherheitsupdates kompatibel sind und keine Fehler verursachen. Solange keine Patches für bekannte Schwachstellen verfügbar sind, MÜSSEN andere geeignete Maßnahmen getroffen werden, um die Firewall zu schützen."
NET.3.2 Firewall,NET.3.2.A12 Vorgehen bei Sicherheitsvorfällen ,B,"Es MUSS festgelegt werden, wie bei einem festgestellten Angriff reagiert werden soll. Die Aufgaben und Kompetenzen der betroffenen Mitarbeiter MÜSSEN eindeutig festgelegt werden."
NET.3.2 Firewall,NET.3.2.A13 Regelmäßige Datensicherung ,B,"Es MÜSSEN in regelmäßigen Abständen Systemsicherungen der Firewall erstellt werden. Auch bevor eine Firewall neu installiert oder anders konfiguriert wird, MUSS das System gesichert werden. Wenn gesicherte Datenbestände wieder eingespielt werden, MÜSSEN sich die sicherheitsrelevanten Dateien auf dem sicherheitstechnisch erforderlichen Konfigurationsstand befinden."
NET.3.2 Firewall,NET.3.2.A14 Betriebsdokumentationen ,B,"Die betrieblichen Aufgaben einer Firewall MÜSSEN nachvollziehbar dokumentiert werden. Es MÜSSEN alle Konfigurationsänderungen sowie sicherheitsrelevante Aufgaben dokumentiert werden, insbesondere Änderungen an den Systemdiensten und dem Regelwerk der Firewall. Die Dokumentation MUSS vor unbefugten Zugriffen geschützt werden. Änderungen an der Konfiguration MÜSSEN zudem möglichst automatisch protokolliert werden."
NET.3.2 Firewall,NET.3.2.A15 Beschaffung einer Firewall ,B,"Bevor eine Firewall beschafft wird, MUSS eine Anforderungsliste erstellt werden, anhand derer die am Markt erhältlichen Produkte bewertet werden. Es MUSS darauf geachtet werden, dass das von der Institution angestrebte Sicherheitsniveau mit der Firewall erreichbar ist. Grundlage für die Beschaffung MÜSSEN daher die Anforderungen aus der Sicherheitsrichtlinie sein."
NET.3.2 Firewall,NET.3.2.A16 Aufbau einer „P-A-P“-Struktur ,S,Der Aufbau einer „Paketfilter – Application-Level-Gateway – Paketfilter“-(P-A-P)-Struktur SOLLTE aus mehreren Komponenten mit jeweils dafür geeigneter Hard- und Software bestehen. Für die wichtigsten verwendeten Protokolle SOLLTEN Sicherheitsproxies auf Anwendungsschicht vorhanden sein. Für andere Dienste SOLLTEN zumindest generische Sicherheitsproxies für TCP und UDP genutzt werden. Die Sicherheitsproxies SOLLTEN zudem innerhalb einer abgesicherten Laufzeitumgebung des Betriebssystems ablaufen.
NET.3.2 Firewall,NET.3.2.A17 Deaktivierung von IPv4 oder IPv6 ,S,"Wenn das IPv4- oder IPv6-Protokoll in einem Netzsegment nicht benötigt wird, SOLLTE es am jeweiligen Firewall-Netzzugangspunkt (z. B. am entsprechenden Firewall-Interface) deaktiviert werden. Wenn das IPv4- oder IPv6-Protokoll nicht benötigt bzw. eingesetzt wird, SOLLTE es auf der Firewall komplett deaktiviert werden."
NET.3.2 Firewall,NET.3.2.A18 Administration über ein gesondertes Managementnetz ,S,"Firewalls SOLLTEN ausschließlich über ein separates Managementnetz (Out-of-Band-Management) administriert werden. Eine eventuell vorhandene Administrationsschnittstelle über das eigentliche Datennetz (In-Band) SOLLTE deaktiviert werden. Die Kommunikation im Managementnetz SOLLTE über Management-Firewalls (siehe NET.1.1 Netz-Architektur und -design) auf wenige Managementprotokolle mit genau festgelegten Ursprüngen und Zielen beschränkt werden. Die verfügbaren Sicherheitsmechanismen der eingesetzten Managementprotokolle zur Authentisierung, Integritätssicherung und Verschlüsselung SOLLTEN aktiviert und alle unsicheren Managementprotokolle deaktiviert werden (siehe NET.1.2 Netz-Management)."
NET.3.2 Firewall,"NET.3.2.A19 Schutz vor TCP SYN Flooding, UDP Paket Storm und Sequence Number Guessing am Paketfilter ",S,"Am Paketfilter, der Server-Dienste schützt, die aus nicht vertrauenswürdigen Netzen erreichbar sind, SOLLTE ein geeignetes Limit für halboffene und offene Verbindungen gesetzt werden."
NET.3.2 Firewall,NET.3.2.A20 Absicherung von grundlegenden Internetprotokollen ,S,"Die Protokolle HTTP, SMTP und DNS inklusive ihrer verschlüsselten Versionen SOLLTEN über protokollspezifische Sicherheitsproxies geleitet werden. "
